Production_company,Average number of votes
Adelphia Compagnia Cinematografica	4483.666666666667
Adelson-Baumgarten Productions	1888.0
Adicta Films	366.0
Adirondack Pictures	632.0
Adishakti Films	11534.0
Aditya Arts	529.0
Aditya Films	387.0
Adivina Producciones S.L.	732.0
Adl Film	1011.0
Adlabs Films	3914.714285714286
Adlabs	101.0
Admira	165.0
Admiral	685.0
Admire Productions Ltd.	9973.0
Adness K.K.	4656.0
Adolf Winkelmann Filmproduktion	142.5
Adolfo Aristarain	1771.0
Adoor Gopalakrishnan Productions	204.0
Adrenalin Films	151.0
Adria Film	2370.0
Adrian Weiss Productions	322.0
Adriatica Film	871.0
Advance Party Films	202.0
Advance Productions	107.0
Advanced Order Systems	322.0
Advanced Party Scheme	11596.0
Advanced Visual Media	376.0
Advantage Partners Pictures	347.0
Adventure Pictures	4657.5
Aegean Entertainment	1307.0
Aera Films	252.5
Aerodynamic Films	943.0
Aeroplano Cine	939.5
Aeteas Filmproduktions	6691.0
Aeternam Films	244.0
Aetios Production	255.0
Aetos Produzioni Cinematografiche	5444.5
Afagh Film	314.0
Affiliated Entertainment	377.0
Affiliated Productions	111.0
Affinity Entertainment	662.0
Affinity Films Inc.	374.0
Afghanfilm	323.0
Afiba Film	118.0
Afix Productions	136.0
Afmfilms	1279.0
Afoi Vergeti	1262.0
Africa Filmes	702.5
African Film Productions	104.0
African Media Entertainment (AME)	329.0
Aftab Negaran Institute	503.0
Aftab Negaran Productions	2105.3333333333335
Aftab Pictures	509.8
After Dark Films	8118.75
After the Edge Films	1092.0
After... Films LLC	770.0
Afton-Linebrook	5325.0
Aga Films	1350.0
Agana	150.0
Agarrate del Barandal	714.0
Agat Films & Cie	869.2307692307693
Agata Film	227.0
Agav Films	321.6666666666667
Agav Hafakot	894.8
Agence du CinÃ©ma IndÃ©pendant pour sa Diffusion (ACID)	283.0
Agencia SHA	660.0
Agencie Canadienne de Publicite	144.0
Agencja Produkcji Filmowej	1147.7857142857142
Agency for Film Production	153.0
Agenda Film Productions	862.0
Agenda	5343.0
Agepro CinÃ©ma	536.0
Ager Cinematografica	120.0
Agerfilm S.r.l.	341.0
Agidi	2608.0
Agincourt Productions Limited	168.33333333333334
Aglet Productions	216.0
Agnes Delahaie Productions	1432.25
Agora Films	212.0
Agoraphobe	192.0
Agravo ProduÃ§Ãµes CinematogrÃ¡ficas	561.5
Agresti Films	560.0
Agua Dulce Films	142.0
Agung	571.0
AgÃªncia Nacional do Cinema (ANCINE)	396.0
Ah! Victoria! Films	1058.0
Ahlan Productions	291.0
Ahn's World	194.0
Ahoij Film	335.0
Ahremess Inc.	154.0
Aica Cinematografica S.R.L	417.0
Aichholzer Filmproduktion	276.0
Aichi Arts Center	2566.0
Aico Films	276.0
Aiete Films S.A.	1101.25
Aiete-Ariane Films	318.5
Aim Films	2159.0
Aim	13069.0
Aimimage Productions	171.0
Airboss L.P.	146.0
Airspeed Productions Inc.	1194.0
Airstream Films Inc.	218.0
Aitor Films	152.0
Ajace Produzioni Cinematografiche	355.5
Ajanta Arts	171.0
Ajanta Pictures	1815.0
Ajay Film Company	787.0
Ajym Films	2075.25
Akira Committee Company Ltd.	146586.0
Akita Shoten	3851.3333333333335
Akkord Film Produktion GmbH	523.0
Akla Productions	254.0
Akson Studio	5092.333333333333
Aksoy Film	22449.0
AkÃ¼n Film	782.5
Al Massa Art Production	2598.0
Al-Nasr Films	2617.0
Alabama Moon Entertainment	1259.0
Alacran Pictures	10833.0
Aladdin Entertainment	237.0
Alain Keytsman Production	3316.0
Alaise Productions Inc.	2088.0
Alalia Film	484.0
Alameda Films	2061.375
Alamo Films	233.0
Alan C. Margolin - Joel M. Reed Productions	4718.0
Alan Clore Films	608.0
Alan Jacobs Productions	538.0
Alan Jay Lerner Productions	11337.0
Alan L. Stewart Productions	103.0
Alan Landsburg Productions	237.0
Alan Roberts Productions	917.0
Alan Young Pictures	3948.0
Alan and Eric Films Ltd.	214.0
Alankar Chitra	272.0
Alaska Moving Picture Corp.	198.0
Alba Cinematografica	771.5
Albachiara	795.0
Albanian General Vision	402.5
Albany Productions	253.0
AlbarÃ¨s Productions	519.0
Albatros C.P.C.	360.0
Albatros Filmproduktion	4049.75
Albatros Produktion	2461.0
Albert Band International Productions Inc.	1025.0
Albert C. Gannaway Productions	162.0
Albert Films	119.0
Albert Jay Cohen Productions	490.0
Albert S. Ruddy Productions	2350.0
Albert T. Viola Productions	159.0
Albert Zugsmith Productions	470.7142857142857
Alberta Foundation for the Arts	1763.0
Alberta Motion Picture Development Corporation	244.5
Albina Productions S.a.r.l.	984.375
Albino Alligator Productions	7335.0
Albino Fawn Productions	191.0
Albion Entertainment	241.0
Albion Film Corp. (I)	704.5
Albione Cinematografica	991.0
Alborada P.C.	159.33333333333334
Albright Films Inc.	1658.0
Albright/Platt Films	863.0
Alby Pictures	1302.0
Alced Productions	6542.0
Alchemist Entertainment	976.0
Alchemy Film Productions	143.0
Alchemy Filmworks	3038.0
Alchemy Pictures	104.0
Alcina Pictures	20748.0
Alcina	382.0
Alcinter	209.0
Alco Films	1871.5
Alcon Entertainment	73843.73333333334
Alcor Films	22398.4
Alcorn Productions	196.0
Alcorta Cooperativa de Trabajo de Producciones ArtÃ­sticas Ltda.	248.0
Aldan Company	1531.0
Aldana Properties	1547.0
Aldea Films	693.0
AldebarÃ¡n Films	307.0
Aldo Lado	262.0
Aldongar Productions	231.0
Aldrich Company	1834.5
Alejandro Saderman Producciones	137.0
Aleph Cinematografica	451.0
Aleph Media	191.0
Aleph Producciones S.A.	557.2
Alert Film	181.0
Alex Cinematografica	2117.0
Alex Entertainment Inc.	5920.0
Alex Gottlieb Productions	4226.0
Alex Winitsky / Arlene Sellers Productions	3963.0
Alexander Korda Films	2604.3333333333335
Alexander-Stern Productions	524.7142857142857
Alexander/ Mitchell Productions	107.0
Alexander/Enright & Associates	349.0
Alexandra Film	360.25
Alexandra Internazionale Cinematografica	394.0
Alexandra Produzioni Cinematografiche	210.0
Alexandra	213.0
Alexandre Films	5422.7692307692305
Alexandros Film	395.0
Alexia Films	226.0
Alexis Entertainment	328.0
Alexis Films	123.0
Aleya Motion Magic	288.0
Alfa Cinematografica	17086.0
Alfa Film S.A.	660.0
Alfa Film	635.25
Alfama Films	830.6666666666666
Alfran Productions	930.0
Alfred J. Hitchcock Productions	232823.0
Alga Cinematografica	297.0
Algemene Vereniging Radio Omroep (AVRO)	853.0
Algonquin Productions Limited	3435.0
Algonquin	10944.0
Alhena Films	520.3333333333334
