Paramount Pictures,Sally of the Sawdust
Academy Photoplays,The Salvation Hunters
Buster Keaton Productions,Seven Chances
H. K. Breslauer-Film,Die Stadt ohne Juden
Paramount Pictures,Stage Struck
The Samuel Goldwyn Company,Stella Dallas
Metro-Goldwyn-Mayer (MGM),The Unholy Three
Paramount Pictures,The Vanishing American
Universum Film (UFA),VarietÃ©
Mundus-Film,Visages d'enfants
Georges Loureau,Le voyage imaginaire
Chadwick Pictures Corporation,The Wizard of Oz
Paramount Pictures,A Woman of the World
Mezhrabpom-Rus,Zakroyshchik iz Torzhka
Cosmopolitan Productions,Zander the Great
Universum Film (UFA),Zur Chronik von Grieshuus
Metro-Goldwyn-Mayer (MGM),Bardelys the Magnificent
Roland West Productions,The Bat
Buster Keaton Productions,Battling Butler
Paramount Pictures,Beau Geste
Chadwick Pictures Corporation,The Bells
Warner Bros.,The Better 'Ole
Elton Corporation,The Black Pirate
Metro-Goldwyn-Mayer (MGM),The Blackbird
Fox Film Corporation,The Blue Eagle
Metro-Goldwyn-Mayer (MGM),La BohÃ¨me
Metro-Goldwyn-Mayer (MGM),The Boob
Metro-Goldwyn-Mayer (MGM),Brown of Harvard
Paramount Pictures,Dancing Mothers
Warner Bros.,Don Juan
John McCormick Productions,Ella Cinders
DeMille Pictures Corporation,Eve's Leaves
Metro-Goldwyn-Mayer (MGM),Exit Smiling
Universum Film (UFA),Faust: Eine deutsche Volkssage
Fox Film Corporation,Fig Leaves
Metro-Goldwyn-Mayer (MGM),Flesh and the Devil
The Harold Lloyd Corporation,For Heaven's Sake
Neumann-Filmproduktion,Geheimnisse einer Seele
Lew Seiler Productions,The Great K & A Train Robbery
Paramount Pictures,Hands Up!
Berg- und Sportfilm,Der heilige Berg
Mack Sennett Comedies,His First Flame
Paramount Pictures,It's the Old Army Game
Famous Players-Lasky Corporation,Kid Boots
Norma Talmadge Film Corporation,Kiki
Kinugasa Productions,Kurutta ippÃªji
Gainsborough Pictures,The Lodger: A Story of the London Fog
Famous Players-Lasky Corporation,Love 'Em and Leave 'Em
Fert Studios,Maciste all'inferno
Metro-Goldwyn Pictures Corporation,The Magician
Paramount Pictures,Mantrap
Metro-Goldwyn Pictures Corporation,Mare Nostrum
Mezhrabpom-Rus,Mat
Universum Film (UFA),Metropolis
Armenkino,Namus
Les Films Jean Renoir,Nana
British National Films,Nell Gwyn
Paramount Pictures,Old Ironsides
Goskino,Po zakonu
Mezhrabpom-Rus,Protsess o tryokh millionakh
Metro-Goldwyn-Mayer (MGM),The Road to Mandalay
Pan-Film,Der Rosenkavalier
Metro-Goldwyn-Mayer (MGM),The Scarlet Letter
Warner Bros.,The Sea Beast
Fox Film Corporation,The Shamrock Handicap
Paramount Pictures,The Show-Off
Warner Bros.,So This Is Paris
Paramount Pictures,So's Your Old Man
Feature Productions,The Son of the Sheik
D.W. Griffith Productions,The Sorrows of Satan
Harry Langdon Corporation,The Strong Man
Sokal-Film GmbH,Der Student von Prag
Universum Film (UFA),Herr TartÃ¼ff
Fox Film Corporation,3 Bad Men
Cosmopolitan Productions,Torrent
DeMille Pictures Corporation,The Volga Boatman
Metro-Goldwyn-Mayer (MGM),West Point
Fox Film Corporation,What Price Glory
The Samuel Goldwyn Company,The Winning of Barbara Worth
Ama-Film GmbH,Alraune
Metro-Goldwyn-Mayer (MGM),Annie Laurie
Feature Productions,The Beloved Rogue
Metro-Goldwyn-Mayer (MGM),Captain Salvation
CinÃ©-Alliance,Casanova
Universal Pictures,The Cat and the Canary
DeMille Pictures Corporation,Chicago
Mezhrabpom-Rus,Devushka s korobkoy
Gainsborough Pictures,Downhill
First National Pictures,The Drop Kick
Gainsborough Pictures,Easy Virtue
Cosmopolitan Productions,The Fair Co-Ed
Warner Bros.,The First Auto
Elton Corporation,The Gaucho
Paramount Famous Lasky Corporation,Get Your Man
Films Jean Epstein,La glace Ã  trois faces
Vostokfilm,Schaste
Gaumont British Picture Corporation,Hindle Wakes
Paramount Pictures,Hotel Imperial
Paramount Pictures,Hula
Warner Bros.,The Jazz Singer
SociÃ©tÃ© des Films Historiques,Le joueur d'Ã©checs
DeMille Pictures Corporation,The King of Kings
Universum Film (UFA),Die Liebe der Jeanne Ney
Metro-Goldwyn-Mayer (MGM),London After Midnight
Harry Langdon Corporation,Long Pants
Gloria Swanson Pictures,The Love of Sunya
Metro-Goldwyn-Mayer (MGM),Mockery
Metro-Goldwyn-Mayer (MGM),Mr. Wu
Mary Pickford Company,My Best Girl
CinÃ© France,NapolÃ©on vu par Abel Gance
Warner Bros.,Old San Francisco
